DATASET_TITLE,Number of People Living in Households (UV51),,,,,,FROM,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001
AREA_TYPE,Local Authority,,,,,,TO,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001,Apr-2001
GEO_HIERARCHY,NeSS Geography Hierarchy,,,,,,HEADING,All Occupied Household Spaces,1 person living in Household,2 people living in Household,3 people living in Household,4 people living in Household,5 people living in Household,6 people living in Household,7 people living in Household,8 or more people living in Household
,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Count,Count,Count,Count
,,,,,,,STATISTICAL_UNIT,Households,Households,Households,Households,Households,Households,Households,Households,Households
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"G","East of England","33","Norfolk","33UC","Broadland",,,50009,12681,20419,7450,7006,2009,342,73,29
"G","East of England","33","Norfolk","33UD","Great Yarmouth",,,39380,12223,14212,5917,4829,1694,349,109,47
"G","East of England","33","Norfolk","33UE","King's Lynn and West Norfolk",,,58338,16252,23721,8247,7021,2381,535,123,58
"G","East of England","33","Norfolk","33UF","North Norfolk",,,43502,12954,18307,5676,4550,1545,341,96,33
"G","East of England","33","Norfolk","33UG","Norwich",,,54584,20257,18495,7376,5683,1995,536,176,66
"G","East of England","33","Norfolk","33UH","South Norfolk",,,46607,12061,18855,6798,6433,1881,442,105,32
"G","East of England","42","Suffolk","42UB","Babergh",,,34863,9466,13340,5194,4806,1559,401,71,26
"G","East of England","42","Suffolk","42UC","Forest Heath",,,23018,6712,8137,3589,3183,1092,238,43,24
"G","East of England","42","Suffolk","42UD","Ipswich",,,49869,16170,16642,7076,6663,2314,657,223,124
"G","East of England","42","Suffolk","42UE","Mid Suffolk",,,35396,8724,13829,5297,5204,1856,380,72,34
"G","East of England","42","Suffolk","42UF","St Edmundsbury",,,40560,10885,15527,6248,5496,1841,446,82,35
"G","East of England","42","Suffolk","42UG","Suffolk Coastal",,,49025,14295,18762,6522,6383,2290,545,165,63
"G","East of England","42","Suffolk","42UH","Waveney",,,48424,14467,18500,6690,5938,1985,567,190,87
"H","London",,,"00AA","City of London",,,4339,2623,1176,359,125,32,16,5,3
"H","London",,,"00AB","Barking and Dagenham",,,67273,20713,20487,10959,9528,3996,1237,230,123
"H","London",,,"00AC","Barnet",,,126944,39751,37241,20465,18059,8087,2261,635,445
"H","London",,,"00AD","Bexley",,,89451,25763,28810,14449,13727,5104,1235,253,110
"H","London",,,"00AE","Brent",,,99991,28948,27183,16529,15259,7695,2941,820,616
"H","London",,,"00AF","Bromley",,,125866,38806,42298,19556,17497,6138,1197,257,117
"H","London",,,"00AG","Camden",,,91603,42217,24446,11694,7548,3149,1901,332,316
"H","London",,,"00AH","Croydon",,,138999,46069,41463,22298,18522,7590,2311,489,257
"H","London",,,"00AJ","Ealing",,,118023,36055,33435,18444,17451,7995,3292,801,550
"H","London",,,"00AK","Enfield",,,110398,34681,31330,17624,16910,7611,1678,341,223
"H","London",,,"00AL","Greenwich",,,92788,34002,26598,13889,11611,4474,1700,319,195
"H","London",,,"00AM","Hackney",,,86042,34805,21847,11133,9130,5134,2620,564,809
"H","London",,,"00AN","Hammersmith and Fulham",,,75438,30385,22273,10313,7269,3496,1368,201,133
"H","London",,,"00AP","Haringey",,,92170,33053,26285,14270,10858,5179,1716,466,343
"H","London",,,"00AQ","Harrow",,,79112,20705,23728,13456,13227,5408,1941,399,248
"H","London",,,"00AR","Havering",,,91722,25618,30729,14672,13987,5227,1170,232,87
"H","London",,,"00AS","Hillingdon",,,96643,27694,30642,15425,14601,5620,2000,436,225
"H","London",,,"00AT","Hounslow",,,83994,25383,23908,13790,12606,5489,2080,473,265
"H","London",,,"00AU","Islington",,,82281,36305,22690,10470,7471,3552,1387,241,165
"H","London",,,"00AW","Kensington and Chelsea",,,79146,38454,21932,8530,5734,2778,1483,148,87
"H","London",,,"00AX","Kingston upon Thames",,,61426,19740,19543,9333,8544,3009,1018,161,78
