DATASET_TITLE,"Domestic Energy Consumption, 2005",,,,,,FROM,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005
AREA_TYPE,Local Authority,,,,,,TO,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005
GEO_HIERARCHY,2001 Statistical Geography Hierarchy,,,,,,HEADING,Total Consumption of Domestic Electricity and Gas,Consumption of Ordinary Domestic Electricity,Consumption of Economy 7 Domestic Electricity,Consumption of Domestic Gas,Number of Ordinary Domestic Electricity meters,Average Consumption of Ordinary Domestic Electricity,Number of Economy 7 Domestic Electricity meters,Average Consumption of Economy 7 Domestic Electricity,Number of Domestic Gas meters,Average Consumption of Domestic Gas
,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Average,Count,Average,Count,Average
,,,,,,,STATISTICAL_UNIT,Megawatt Hours,Megawatt Hours,Megawatt Hours,Megawatt Hours,Meter Points,Kilowatt Hours,Meter Points,Kilowatt Hours,Meter Points,Kilowatt Hours
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"E12000004","East Midlands","E10000018","Leicestershire","E07000131","Harborough",,,768716,61510,115236,591969,14647,4200,19190,6005,27517,21513
"E12000004","East Midlands","E10000018","Leicestershire","E07000132","Hinckley and Bosworth",,,981329,65822,140886,774621,17876,3682,27174,5185,39422,19649
"E12000004","East Midlands","E10000018","Leicestershire","E07000133","Melton",,,423694,36035,75604,312054,8907,4046,12422,6086,15902,19624
"E12000004","East Midlands","E10000018","Leicestershire","E07000134","North West Leicestershire",,,848582,70290,116053,662240,18402,3820,20776,5586,31940,20734
"E12000004","East Midlands","E10000018","Leicestershire","E07000135","Oadby and Wigston",,,541193,38640,56948,445605,10595,3647,11589,4914,21496,20730
"E12000004","East Midlands","E10000019","Lincolnshire","E07000136","Boston",,,499595,48269,85870,365456,12885,3746,14506,5920,19212,19022
"E12000004","East Midlands","E10000019","Lincolnshire","E07000137","East Lindsey",,,996540,133919,195527,667094,32479,4123,30109,6494,35075,19019
"E12000004","East Midlands","E10000019","Lincolnshire","E07000138","Lincoln",,,795956,81428,83889,630639,24093,3380,18644,4500,37334,16892
"E12000004","East Midlands","E10000019","Lincolnshire","E07000139","North Kesteven",,,808958,72952,144843,591163,19216,3796,25441,5693,30979,19083
"E12000004","East Midlands","E10000019","Lincolnshire","E07000140","South Holland",,,653999,60654,132913,460432,14901,4070,22388,5937,23752,19385
"E12000004","East Midlands","E10000019","Lincolnshire","E07000141","South Kesteven",,,1071624,100408,186237,784979,25846,3885,30827,6041,41673,18837
"E12000004","East Midlands","E10000019","Lincolnshire","E07000142","West Lindsey",,,697854,112701,75327,509825,26183,4304,11545,6525,26608,19161
"E12000004","East Midlands","E10000021","Northamptonshire","E07000150","Corby",,,541184,62026,40874,438284,16199,3829,7911,5167,22583,19408
"E12000004","East Midlands","E10000021","Northamptonshire","E07000151","Daventry",,,625220,64130,122771,438320,14206,4514,18710,6562,22041,19887
"E12000004","East Midlands","E10000021","Northamptonshire","E07000152","East Northamptonshire",,,725338,75560,105793,543985,18370,4113,17545,6030,28580,19034
"E12000004","East Midlands","E10000021","Northamptonshire","E07000153","Kettering",,,848985,82679,95826,670480,21365,3870,17644,5431,35153,19073
"E12000004","East Midlands","E10000021","Northamptonshire","E07000154","Northampton",,,1875481,197269,209993,1468219,51776,3810,41391,5073,82063,17891
"E12000004","East Midlands","E10000021","Northamptonshire","E07000155","South Northamptonshire",,,709865,72962,132180,504723,15729,4639,19456,6794,25158,20062
"E12000004","East Midlands","E10000021","Northamptonshire","E07000156","Wellingborough",,,697417,68258,78879,550280,17601,3878,14511,5436,29406,18713
